"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"Ealing","E09000009","Upper tier local authority","2020-03-01",1,2
"West Midlands","E12000005","Region","2020-03-01",2,4
"Stockport","E08000007","Upper tier local authority","2020-03-01",1,1
"Bradford","E08000032","Upper tier local authority","2020-03-01",1,1
"Hertfordshire","E10000015","Upper tier local authority","2020-03-01",3,4
"Westminster","E09000033","Upper tier local authority","2020-03-01",1,1
"South West","E12000009","Region","2020-03-01",2,5
"Wandsworth","E09000032","Upper tier local authority","2020-03-01",1,1
"East of England","E12000006","Region","2020-03-01",3,5
"Walsall","E08000030","Upper tier local authority","2020-03-01",1,1
"Wirral","E08000015","Upper tier local authority","2020-03-01",1,1
"Leicestershire","E10000018","Upper tier local authority","2020-03-01",1,2
"Barnet","E09000003","Upper tier local authority","2020-03-01",1,3
"Yorkshire and The Humber","E12000003","Region","2020-03-01",4,8
"East Midlands","E12000004","Region","2020-03-01",1,6
"Bolton","E08000001","Upper tier local authority","2020-03-01",1,1
"Bromley","E09000006","Upper tier local authority","2020-03-01",1,1
"England","E92000001","Country","2020-03-01",31,82
"Leeds","E08000035","Upper tier local authority","2020-03-01",1,2
"Sheffield","E08000019","Upper tier local authority","2020-03-01",1,2
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-01",1,1
"Merton","E09000024","Upper tier local authority","2020-03-01",1,1
"Lancashire","E10000017","Upper tier local authority","2020-03-01",2,2
"London","E12000007","Region","2020-03-01",8,24
"Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-03-01",1,1
"Gloucestershire","E10000013","Upper tier local authority","2020-03-01",1,2
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-01",1,1
"North West","E12000002","Region","2020-03-01",8,9
"Bury","E08000002","Upper tier local authority","2020-03-01",3,3
"West Sussex","E10000032","Upper tier local authority","2020-03-01",2,3
"South East","E12000008","Region","2020-03-01",3,14
"England","E92000001","Country","2020-03-02",39,121
"Barnsley","E08000016","Upper tier local authority","2020-03-02",1,2
"North West","E12000002","Region","2020-03-02",6,15
"London","E12000007","Region","2020-03-02",12,36
"Liverpool","E08000012","Upper tier local authority","2020-03-02",1,1
"Ealing","E09000009","Upper tier local authority","2020-03-02",1,3
"York","E06000014","Upper tier local authority","2020-03-02",1,2
"Devon","E10000008","Upper tier local authority","2020-03-02",3,5
"Camden","E09000007","Upper tier local authority","2020-03-02",2,2
"Oxfordshire","E10000025","Upper tier local authority","2020-03-02",1,1
"Staffordshire","E10000028","Upper tier local authority","2020-03-02",1,1
"Wandsworth","E09000032","Upper tier local authority","2020-03-02",1,2
"West Midlands","E12000005","Region","2020-03-02",4,8
"Derbyshire","E10000007","Upper tier local authority","2020-03-02",2,3
"Hounslow","E09000018","Upper tier local authority","2020-03-02",1,3
"Hillingdon","E09000017","Upper tier local authority","2020-03-02",1,1
"Rotherham","E08000018","Upper tier local authority","2020-03-02",1,1
"Redbridge","E09000026","Upper tier local authority","2020-03-02",1,2
"Cheshire West and Chester","E06000050","Upper tier local authority","2020-03-02",1,1
"South West","E12000009","Region","2020-03-02",8,13
"Oldham","E08000004","Upper tier local authority","2020-03-02",1,1
"Torbay","E06000027","Upper tier local authority","2020-03-02",4,4
"North East","E12000001","Region","2020-03-02",1,1
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-02",1,1
"Yorkshire and The Humber","E12000003","Region","2020-03-02",3,11
"Southwark","E09000028","Upper tier local authority","2020-03-02",1,4
"South East","E12000008","Region","2020-03-02",1,15
"Warwickshire","E10000031","Upper tier local authority","2020-03-02",2,3
"Birmingham","E08000025","Upper tier local authority","2020-03-02",1,2
"East Midlands","E12000004","Region","2020-03-02",2,8
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-02",1,1
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-02",4,6
"Trafford","E08000009","Upper tier local authority","2020-03-02",3,3
"Barnsley","E08000016","Upper tier local authority","2020-03-03",1,3
"North Yorkshire","E10000023","Upper tier local authority","2020-03-03",1,1
"Cumbria","E10000006","Upper tier local authority","2020-03-03",2,2
"Milton Keynes","E06000042","Upper tier local authority","2020-03-03",1,2
"Staffordshire","E10000028","Upper tier local authority","2020-03-03",1,2
"Liverpool","E08000012","Upper tier local authority","2020-03-03",2,3
"Harrow","E09000015","Upper tier local authority","2020-03-03",1,1
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-03",3,4
"Oxfordshire","E10000025","Upper tier local authority","2020-03-03",3,4
"London","E12000007","Region","2020-03-03",6,42
"Ealing","E09000009","Upper tier local authority","2020-03-03",1,4
"Bristol, City of","E06000023","Upper tier local authority","2020-03-03",1,1
"Devon","E10000008","Upper tier local authority","2020-03-03",6,11
"North West","E12000002","Region","2020-03-03",7,22
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-03",1,1
"Hertfordshire","E10000015","Upper tier local authority","2020-03-03",5,9
"Wokingham","E06000041","Upper tier local authority","2020-03-03",1,2
"Surrey","E10000030","Upper tier local authority","2020-03-03",2,4
"Wandsworth","E09000032","Upper tier local authority","2020-03-03",1,3
"South East","E12000008","Region","2020-03-03",9,24
"Hounslow","E09000018","Upper tier local authority","2020-03-03",1,4
"Wigan","E08000010","Upper tier local authority","2020-03-03",2,3
"Lambeth","E09000022","Upper tier local authority","2020-03-03",1,1
"South West","E12000009","Region","2020-03-03",10,23
"Lincolnshire","E10000019","Upper tier local authority","2020-03-03",2,2
"Essex","E10000012","Upper tier local authority","2020-03-03",1,2
"Westminster","E09000033","Upper tier local authority","2020-03-03",1,2
"Wiltshire","E06000054","Upper tier local authority","2020-03-03",2,3
"Bracknell Forest","E06000036","Upper tier local authority","2020-03-03",1,1
"Kent","E10000016","Upper tier local authority","2020-03-03",1,3
"East Midlands","E12000004","Region","2020-03-03",7,15
"England","E92000001","Country","2020-03-03",52,173
"Sheffield","E08000019","Upper tier local authority","2020-03-03",1,3
"Derbyshire","E10000007","Upper tier local authority","2020-03-03",1,4
"Yorkshire and The Humber","E12000003","Region","2020-03-03",3,14
"Northamptonshire","E10000021","Upper tier local authority","2020-03-03",1,2
"East of England","E12000006","Region","2020-03-03",7,12
"Manchester","E08000003","Upper tier local authority","2020-03-03",1,1
"Swindon","E06000030","Upper tier local authority","2020-03-03",1,1
"West Midlands","E12000005","Region","2020-03-03",1,9
"Hillingdon","E09000017","Upper tier local authority","2020-03-04",1,2
"Lambeth","E09000022","Upper tier local authority","2020-03-04",1,2
"Hampshire","E10000014","Upper tier local authority","2020-03-04",1,2
"Yorkshire and The Humber","E12000003","Region","2020-03-04",2,16
"Warwickshire","E10000031","Upper tier local authority","2020-03-04",2,5
"North East","E12000001","Region","2020-03-04",1,2
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-04",1,1
"Southwark","E09000028","Upper tier local authority","2020-03-04",1,5
"Hertfordshire","E10000015","Upper tier local authority","2020-03-04",2,11
"Barnet","E09000003","Upper tier local authority","2020-03-04",4,7
"Southend-on-Sea","E06000033","Upper tier local authority","2020-03-04",1,1
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-04",1,2
"Luton","E06000032","Upper tier local authority","2020-03-04",2,2
"Manchester","E08000003","Upper tier local authority","2020-03-04",1,2
"London","E12000007","Region","2020-03-04",18,60
"North West","E12000002","Region","2020-03-04",2,24
"Staffordshire","E10000028","Upper tier local authority","2020-03-04",1,3
"West Midlands","E12000005","Region","2020-03-04",3,12
"Medway","E06000035","Upper tier local authority","2020-03-04",2,3
"Derbyshire","E10000007","Upper tier local authority","2020-03-04",2,6
"Trafford","E08000009","Upper tier local authority","2020-03-04",1,4
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-04",1,2
"Gloucestershire","E10000013","Upper tier local authority","2020-03-04",1,3
"Lewisham","E09000023","Upper tier local authority","2020-03-04",1,2
"Southampton","E06000045","Upper tier local authority","2020-03-04",1,1
"Leeds","E08000035","Upper tier local authority","2020-03-04",1,3
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-04",1,3
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-04",2,2
"East of England","E12000006","Region","2020-03-04",7,19
"Wiltshire","E06000054","Upper tier local authority","2020-03-04",1,4
"Essex","E10000012","Upper tier local authority","2020-03-04",2,4
"South West","E12000009","Region","2020-03-04",6,29
"England","E92000001","Country","2020-03-04",49,222
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-04",1,2
"Westminster","E09000033","Upper tier local authority","2020-03-04",1,3
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-04",4,10
"Devon","E10000008","Upper tier local authority","2020-03-04",3,14
"East Midlands","E12000004","Region","2020-03-04",2,17
"Ealing","E09000009","Upper tier local authority","2020-03-04",1,5
"Sheffield","E08000019","Upper tier local authority","2020-03-04",1,4
"Sutton","E09000029","Upper tier local authority","2020-03-04",1,1
"Isle of Wight","E06000046","Upper tier local authority","2020-03-04",1,1
"South East","E12000008","Region","2020-03-04",7,31
"Warwickshire","E10000031","Upper tier local authority","2020-03-05",2,7
"London","E12000007","Region","2020-03-05",14,74
"Southwark","E09000028","Upper tier local authority","2020-03-05",1,6
"Wokingham","E06000041","Upper tier local authority","2020-03-05",1,3
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-05",1,3
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-05",1,3
"East of England","E12000006","Region","2020-03-05",1,20
"North West","E12000002","Region","2020-03-05",10,34
"Manchester","E08000003","Upper tier local authority","2020-03-05",2,4
"Stockport","E08000007","Upper tier local authority","2020-03-05",1,2
"North East","E12000001","Region","2020-03-05",2,4
"South West","E12000009","Region","2020-03-05",4,33
"Cumbria","E10000006","Upper tier local authority","2020-03-05",2,4
"Staffordshire","E10000028","Upper tier local authority","2020-03-05",1,4
"Oldham","E08000004","Upper tier local authority","2020-03-05",1,2
"West Midlands","E12000005","Region","2020-03-05",6,18
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-05",1,3
"Birmingham","E08000025","Upper tier local authority","2020-03-05",1,3
"England","E92000001","Country","2020-03-05",47,269
"Northamptonshire","E10000021","Upper tier local authority","2020-03-05",1,3
"Cambridgeshire","E10000003","Upper tier local authority","2020-03-05",1,2
"Westminster","E09000033","Upper tier local authority","2020-03-05",1,4
"Wigan","E08000010","Upper tier local authority","2020-03-05",1,4
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-05",6,16
"Wolverhampton","E08000031","Upper tier local authority","2020-03-05",1,1
"Barnet","E09000003","Upper tier local authority","2020-03-05",1,8
"Devon","E10000008","Upper tier local authority","2020-03-05",1,15
"East Midlands","E12000004","Region","2020-03-05",3,20
"Waltham Forest","E09000031","Upper tier local authority","2020-03-05",1,1
"Nottingham","E06000018","Upper tier local authority","2020-03-05",1,2
"Bolton","E08000001","Upper tier local authority","2020-03-05",1,2
"Ealing","E09000009","Upper tier local authority","2020-03-05",1,6
"Hampshire","E10000014","Upper tier local authority","2020-03-05",1,3
"Kent","E10000016","Upper tier local authority","2020-03-05",2,5
"Sheffield","E08000019","Upper tier local authority","2020-03-05",2,6
"North Tyneside","E08000022","Upper tier local authority","2020-03-05",1,1
"Yorkshire and The Humber","E12000003","Region","2020-03-05",2,18
"Hillingdon","E09000017","Upper tier local authority","2020-03-05",2,4
"Leicestershire","E10000018","Upper tier local authority","2020-03-05",1,3
"South East","E12000008","Region","2020-03-05",4,35
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-03-05",2,2
"Coventry","E08000026","Upper tier local authority","2020-03-05",1,1
"Lancashire","E10000017","Upper tier local authority","2020-03-05",2,4
"Merton","E09000024","Upper tier local authority","2020-03-06",2,3
"North Yorkshire","E10000023","Upper tier local authority","2020-03-06",1,2
"Havering","E09000016","Upper tier local authority","2020-03-06",2,2
"Herefordshire, County of","E06000019","Upper tier local authority","2020-03-06",1,1
"Hertfordshire","E10000015","Upper tier local authority","2020-03-06",4,15
"Lambeth","E09000022","Upper tier local authority","2020-03-06",1,3
"Hampshire","E10000014","Upper tier local authority","2020-03-06",6,9
"Yorkshire and The Humber","E12000003","Region","2020-03-06",2,20
"East Midlands","E12000004","Region","2020-03-06",7,27
"Sutton","E09000029","Upper tier local authority","2020-03-06",1,2
"Derbyshire","E10000007","Upper tier local authority","2020-03-06",1,7
"Swindon","E06000030","Upper tier local authority","2020-03-06",1,2
"North Lincolnshire","E06000013","Upper tier local authority","2020-03-06",1,1
"Southwark","E09000028","Upper tier local authority","2020-03-06",2,8
"Oxfordshire","E10000025","Upper tier local authority","2020-03-06",3,7
"London","E12000007","Region","2020-03-06",23,97
"South West","E12000009","Region","2020-03-06",11,44
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-03-06",1,3
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-06",1,1
"Camden","E09000007","Upper tier local authority","2020-03-06",1,3
"Torbay","E06000027","Upper tier local authority","2020-03-06",1,5
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-06",2,6
"Bristol, City of","E06000023","Upper tier local authority","2020-03-06",1,2
"Hammersmith and Fulham","E09000013","Upper tier local authority","2020-03-06",2,3
"East of England","E12000006","Region","2020-03-06",5,25
"Darlington","E06000005","Upper tier local authority","2020-03-06",1,1
"Somerset","E10000027","Upper tier local authority","2020-03-06",1,1
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-06",1,3
"Leicestershire","E10000018","Upper tier local authority","2020-03-06",1,4
"Milton Keynes","E06000042","Upper tier local authority","2020-03-06",1,3
"Hackney","E09000012","Upper tier local authority","2020-03-06",1,2
"Northamptonshire","E10000021","Upper tier local authority","2020-03-06",2,5
"Waltham Forest","E09000031","Upper tier local authority","2020-03-06",1,2
"North East","E12000001","Region","2020-03-06",1,5
"Slough","E06000039","Upper tier local authority","2020-03-06",1,1
"Derby","E06000015","Upper tier local authority","2020-03-06",1,1
"North West","E12000002","Region","2020-03-06",2,36
"Liverpool","E08000012","Upper tier local authority","2020-03-06",1,4
"Enfield","E09000010","Upper tier local authority","2020-03-06",1,2
"Tameside","E08000008","Upper tier local authority","2020-03-06",1,1
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-06",1,4
"West Midlands","E12000005","Region","2020-03-06",2,20
"Barnet","E09000003","Upper tier local authority","2020-03-06",1,9
"Devon","E10000008","Upper tier local authority","2020-03-06",4,19
"England","E92000001","Country","2020-03-06",73,342
"Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-03-06",2,5
"South East","E12000008","Region","2020-03-06",16,51
"Westminster","E09000033","Upper tier local authority","2020-03-06",5,9
"Essex","E10000012","Upper tier local authority","2020-03-06",1,5
"Coventry","E08000026","Upper tier local authority","2020-03-06",1,2
"Surrey","E10000030","Upper tier local authority","2020-03-06",2,6
"Richmond upon Thames","E09000027","Upper tier local authority","2020-03-06",2,2
"Kent","E10000016","Upper tier local authority","2020-03-06",1,6
"England","E92000001","Country","2020-03-07",47,389
"Southwark","E09000028","Upper tier local authority","2020-03-07",1,9
"Brent","E09000005","Upper tier local authority","2020-03-07",1,2
"Northamptonshire","E10000021","Upper tier local authority","2020-03-07",1,6
"Bury","E08000002","Upper tier local authority","2020-03-07",1,4
"Sunderland","E08000024","Upper tier local authority","2020-03-07",1,1
"Westminster","E09000033","Upper tier local authority","2020-03-07",2,11
"South East","E12000008","Region","2020-03-07",4,55
"Nottinghamshire","E10000024","Upper tier local authority","2020-03-07",2,8
"Dudley","E08000027","Upper tier local authority","2020-03-07",1,1
"Shropshire","E06000051","Upper tier local authority","2020-03-07",1,1
"South West","E12000009","Region","2020-03-07",2,46
"Newcastle upon Tyne","E08000021","Upper tier local authority","2020-03-07",1,4
"Torbay","E06000027","Upper tier local authority","2020-03-07",1,6
"Croydon","E09000008","Upper tier local authority","2020-03-07",1,1
"Leeds","E08000035","Upper tier local authority","2020-03-07",2,5
"Oldham","E08000004","Upper tier local authority","2020-03-07",2,4
"East of England","E12000006","Region","2020-03-07",3,28
"Lambeth","E09000022","Upper tier local authority","2020-03-07",2,5
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-07",1,5
"Brighton and Hove","E06000043","Upper tier local authority","2020-03-07",1,4
"West Midlands","E12000005","Region","2020-03-07",5,25
"East Midlands","E12000004","Region","2020-03-07",4,31
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-07",1,17
"North West","E12000002","Region","2020-03-07",6,42
"Nottingham","E06000018","Upper tier local authority","2020-03-07",1,3
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-07",1,4
"Wolverhampton","E08000031","Upper tier local authority","2020-03-07",3,4
"Cumbria","E10000006","Upper tier local authority","2020-03-07",1,5
"West Berkshire","E06000037","Upper tier local authority","2020-03-07",1,1
"Greenwich","E09000011","Upper tier local authority","2020-03-07",1,1
"Camden","E09000007","Upper tier local authority","2020-03-07",1,4
"Oxfordshire","E10000025","Upper tier local authority","2020-03-07",1,8
"Suffolk","E10000029","Upper tier local authority","2020-03-07",1,1
"Yorkshire and The Humber","E12000003","Region","2020-03-07",5,25
"London","E12000007","Region","2020-03-07",14,111
"Bristol, City of","E06000023","Upper tier local authority","2020-03-07",1,3
"Lewisham","E09000023","Upper tier local authority","2020-03-07",1,3
"Bolton","E08000001","Upper tier local authority","2020-03-07",1,3
"Liverpool","E08000012","Upper tier local authority","2020-03-07",1,5
"North East","E12000001","Region","2020-03-07",2,7
"Ealing","E09000009","Upper tier local authority","2020-03-07",1,7
"Hertfordshire","E10000015","Upper tier local authority","2020-03-07",2,17
"Sutton","E09000029","Upper tier local authority","2020-03-07",1,3
"Sheffield","E08000019","Upper tier local authority","2020-03-07",3,9
"Gloucestershire","E10000013","Upper tier local authority","2020-03-08",1,4
"North West","E12000002","Region","2020-03-08",5,47
"Shropshire","E06000051","Upper tier local authority","2020-03-08",1,2
"Wolverhampton","E08000031","Upper tier local authority","2020-03-08",1,5
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-08",2,19
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-08",1,5
"Brent","E09000005","Upper tier local authority","2020-03-08",1,3
"Westminster","E09000033","Upper tier local authority","2020-03-08",1,12
"Coventry","E08000026","Upper tier local authority","2020-03-08",1,3
"Kent","E10000016","Upper tier local authority","2020-03-08",1,7
"Enfield","E09000010","Upper tier local authority","2020-03-08",1,3
"Cumbria","E10000006","Upper tier local authority","2020-03-08",3,8
"South Gloucestershire","E06000025","Upper tier local authority","2020-03-08",1,1
"Camden","E09000007","Upper tier local authority","2020-03-08",2,6
"East of England","E12000006","Region","2020-03-08",2,30
"Devon","E10000008","Upper tier local authority","2020-03-08",1,20
"Oxfordshire","E10000025","Upper tier local authority","2020-03-08",1,9
"Birmingham","E08000025","Upper tier local authority","2020-03-08",1,4
"Reading","E06000038","Upper tier local authority","2020-03-08",1,1
"Yorkshire and The Humber","E12000003","Region","2020-03-08",3,28
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-08",1,6
"London","E12000007","Region","2020-03-08",22,133
"Hampshire","E10000014","Upper tier local authority","2020-03-08",1,10
"England","E92000001","Country","2020-03-08",50,439
"Hackney","E09000012","Upper tier local authority","2020-03-08",1,3
"Barnet","E09000003","Upper tier local authority","2020-03-08",1,10
"West Midlands","E12000005","Region","2020-03-08",4,29
"Slough","E06000039","Upper tier local authority","2020-03-08",3,4
"Derbyshire","E10000007","Upper tier local authority","2020-03-08",1,8
"Ealing","E09000009","Upper tier local authority","2020-03-08",1,8
"Islington","E09000019","Upper tier local authority","2020-03-08",1,2
"Hillingdon","E09000017","Upper tier local authority","2020-03-08",2,6
"East Midlands","E12000004","Region","2020-03-08",1,32
"Hertfordshire","E10000015","Upper tier local authority","2020-03-08",2,19
"Barking and Dagenham","E09000002","Upper tier local authority","2020-03-08",1,2
"South East","E12000008","Region","2020-03-08",10,65
"Wandsworth","E09000032","Upper tier local authority","2020-03-08",2,5
"Surrey","E10000030","Upper tier local authority","2020-03-08",2,8
"Haringey","E09000014","Upper tier local authority","2020-03-08",1,1
"Southwark","E09000028","Upper tier local authority","2020-03-08",2,11
"South West","E12000009","Region","2020-03-08",3,49
"Kingston upon Thames","E09000021","Upper tier local authority","2020-03-08",1,2
"Sheffield","E08000019","Upper tier local authority","2020-03-08",3,12
"Wirral","E08000015","Upper tier local authority","2020-03-08",2,3
"Bromley","E09000006","Upper tier local authority","2020-03-08",1,2
"Buckinghamshire","E10000002","Upper tier local authority","2020-03-09",2,7
"Leeds","E08000035","Upper tier local authority","2020-03-09",3,8
"Stockton-on-Tees","E06000004","Upper tier local authority","2020-03-09",1,1
"Staffordshire","E10000028","Upper tier local authority","2020-03-09",1,5
"Rotherham","E08000018","Upper tier local authority","2020-03-09",2,3
"Croydon","E09000008","Upper tier local authority","2020-03-09",1,2
"Birmingham","E08000025","Upper tier local authority","2020-03-09",1,5
"County Durham","E06000047","Upper tier local authority","2020-03-09",1,1
"East Midlands","E12000004","Region","2020-03-09",10,42
"Rochdale","E08000005","Upper tier local authority","2020-03-09",1,1
"Cumbria","E10000006","Upper tier local authority","2020-03-09",1,9
"Bexley","E09000004","Upper tier local authority","2020-03-09",2,2
"Kent","E10000016","Upper tier local authority","2020-03-09",2,9
"Camden","E09000007","Upper tier local authority","2020-03-09",2,8
"East of England","E12000006","Region","2020-03-09",4,34
"Kensington and Chelsea","E09000020","Upper tier local authority","2020-03-09",4,23
"Windsor and Maidenhead","E06000040","Upper tier local authority","2020-03-09",1,2
"Lancashire","E10000017","Upper tier local authority","2020-03-09",1,5
"England","E92000001","Country","2020-03-09",125,564
"Oxfordshire","E10000025","Upper tier local authority","2020-03-09",3,12
"South Gloucestershire","E06000025","Upper tier local authority","2020-03-09",2,3
"West Sussex","E10000032","Upper tier local authority","2020-03-09",2,5
"Havering","E09000016","Upper tier local authority","2020-03-09",1,3
"Tower Hamlets","E09000030","Upper tier local authority","2020-03-09",2,8
"Yorkshire and The Humber","E12000003","Region","2020-03-09",7,35
"Manchester","E08000003","Upper tier local authority","2020-03-09",2,6
"North Somerset","E06000024","Upper tier local authority","2020-03-09",1,1
"Brent","E09000005","Upper tier local authority","2020-03-09",3,6
